"ScanID","PFT","PFT_2","PFT_3","Freq1","Freq2","area","399.444","449.444","499.444","549.444","599.444","649.444","699.444","749.444","799.444","849.444"
"dryala-tm16_00096","dryala","Dryas alleghenies","Dwarf_Shrub_Broad",119,272,"12_Mile_dried_dryas",0.107839701082964,0.0686327585572584,0.0727867966998475,0.159102930959649,0.108815919324119,0.0729705474468425,0.199345874246281,0.679043301178528,0.714897149245071,0.735674656067845
"dryoct-tm31_00184","dryoct","Dryas octopetala","Dwarf_Shrub_Broad",124,272,"12_Mile_dried_dryas",0.102218821111369,0.0699272432260623,0.0747087606711416,0.17113541472053,0.1268625010186,0.0875737135102058,0.221488500229343,0.655331948856773,0.693535222401652,0.713321349772978
"dryala-tm2_00008","dryala","Dryas alleghenies","Dwarf_Shrub_Broad",119,272,"12_Mile_dried_dryas",0.103875363593119,0.0647802843368079,0.0635623511147562,0.131226625254793,0.087992637666437,0.0606489837094661,0.154601989403413,0.574872379579774,0.594822087158482,0.602881723650785
"dryala-tm18_00108","dryala","Dryas alleghenies","Dwarf_Shrub_Broad",119,272,"12_Mile_dried_dryas",0.149649011512778,0.114507933624876,0.127379023404369,0.24645558703864,0.180159091339543,0.12813905071654,0.287809547832623,0.838332827210293,0.876471912418477,0.899367464538989
"dryala-tm8_00045","dryala","Dryas alleghenies","Dwarf_Shrub_Broad",119,272,"12_Mile_dried_dryas",0.100876816059576,0.0627176355172879,0.0651856974317834,0.137109207904717,0.094610291507343,0.0655542483969062,0.17392195546924,0.677671683651269,0.728091198861232,0.760448499918089
"dryoct-tm35_00210","dryoct","Dryas octopetala","Dwarf_Shrub_Broad",124,272,"12_Mile_dried_dryas",0.127471543029263,0.0834743946996968,0.084062202251704,0.167722755212178,0.124845379834561,0.0903675946646296,0.220820836552046,0.713546714179629,0.758366619077188,0.782395649758251
"dryala-tm2_00007","dryala","Dryas alleghenies","Dwarf_Shrub_Broad",119,272,"12_Mile_dried_dryas",0.101219403941061,0.063396588937051,0.0623890168091091,0.126710073643923,0.0866721012643688,0.0600242066392739,0.15101518214036,0.537027618719309,0.555483894407604,0.563630147935022
"dryoct-tm23_00133","dryoct","Dryas octopetala","Dwarf_Shrub_Broad",124,272,"12_Mile_dried_dryas",0.131138903445231,0.0935130503376368,0.0978889053661175,0.165717434616133,0.126431070303392,0.0977229584300545,0.194370930522144,0.699496171486643,0.751579656565649,0.776935448395005
"dryala-tm5_00029","dryala","Dryas alleghenies","Dwarf_Shrub_Broad",119,272,"12_Mile_dried_dryas",0.103848906439123,0.0606454011112183,0.0619675979344649,0.141375210354321,0.0947133726455288,0.0634259020084493,0.175096730858447,0.739814186109903,0.787790872082213,0.816135405620293
"dryala-tm14_00083","dryala","Dryas alleghenies","Dwarf_Shrub_Broad",119,272,"12_Mile_dried_dryas",0.113100882177006,0.0787702733438969,0.0956025642176762,0.21251024652588,0.162300374240901,0.111769961951533,0.271664617065635,0.759427157965628,0.802570469575589,0.82884540716067
"dryoct-tm34_00203","dryoct","Dryas octopetala","Dwarf_Shrub_Broad",124,272,"12_Mile_dried_dryas",0.125402121275536,0.0906973340245104,0.096597751614267,0.156695613632674,0.132283139719433,0.111817245873046,0.217208023672173,0.585134077115025,0.631773789450735,0.666821761240161
"dryoct-tm27_00160","dryoct","Dryas octopetala","Dwarf_Shrub_Broad",124,272,"12_Mile_dried_dryas",0.120869745600224,0.0816943103596672,0.0841751383428484,0.167819739297954,0.125703493122682,0.0922244256052004,0.217071271503696,0.667078689320163,0.706071615745686,0.72812076240325
"dryala-tm10_00061","dryala","Dryas alleghenies","Dwarf_Shrub_Broad",119,272,"12_Mile_dried_dryas",0.116980613882279,0.0812469488202222,0.0894378540083646,0.177615785191175,0.129632838576132,0.0925992497050048,0.214109092337135,0.712706358203857,0.754031304157544,0.777304306223965
"dryala-tm19_00114","dryala","Dryas alleghenies","Dwarf_Shrub_Broad",119,272,"12_Mile_dried_dryas",0.133463000435482,0.0901411579607037,0.0905298531855511,0.168155549411305,0.123492189589574,0.0893250122757496,0.200760844056674,0.703485816612742,0.761213309019674,0.800618352912462
"dryala-tm1_00006","dryala","Dryas alleghenies","Dwarf_Shrub_Broad",119,272,"12_Mile_dried_dryas",0.0937766558924633,0.0610444408047559,0.0624403263342459,0.137177766716872,0.0902879205304641,0.05980344003052,0.15604573352618,0.582460269898056,0.604348545946521,0.613619489401552
"dryhyb-tm43_00259","dryhyb","Dryas sp.","Dwarf_Shrub_Broad",29,272,"12_Mile_dried_dryas",0.130603813760063,0.0965417477767227,0.105158073979858,0.193594471242723,0.147540621439401,0.108464357755522,0.252328351925529,0.724394596812021,0.772736642468932,0.804954824603505
"dryala-tm17_00099","dryala","Dryas alleghenies","Dwarf_Shrub_Broad",119,272,"12_Mile_dried_dryas",0.123354996914149,0.0833185151944799,0.0887942375642163,0.182716401128449,0.130997429206634,0.0921190906970371,0.221488862744373,0.727387969782235,0.762257940715668,0.780909273013961
"dryoct-tm33_00197","dryoct","Dryas octopetala","Dwarf_Shrub_Broad",124,272,"12_Mile_dried_dryas",0.124815413204176,0.0874755750420803,0.0935875763881265,0.185757681360796,0.148163434484918,0.111624452601583,0.253552232975838,0.731123999358277,0.780092811415768,0.813084154323631
"dryoct-tm26_00151","dryoct","Dryas octopetala","Dwarf_Shrub_Broad",124,272,"12_Mile_dried_dryas",0.120492377111927,0.0829340354788571,0.0915736216656687,0.182934965750342,0.131772681652975,0.0951476460660636,0.234398099655574,0.77304321308767,0.814347302730907,0.834016023159049
"dryoct-tm38_00230","dryoct","Dryas octopetala","Dwarf_Shrub_Broad",124,272,"12_Mile_dried_dryas",0.137732260767261,0.0962756575165737,0.103611355413999,0.194948246964859,0.149612637253153,0.11110337073083,0.241980717269066,0.718654799677396,0.75852486614626,0.780890375460894
"dryoct-tm22_00126","dryoct","Dryas octopetala","Dwarf_Shrub_Broad",124,272,"12_Mile_dried_dryas",0.11578266512662,0.0787341956803037,0.0809284019529781,0.153847110872599,0.116847874767451,0.0857297689832759,0.214718643018668,0.638598881498086,0.677234831951143,0.700113641966015
"dryoct-tm26_00152","dryoct","Dryas octopetala","Dwarf_Shrub_Broad",124,272,"12_Mile_dried_dryas",0.12730168860067,0.0842912021343451,0.0911756390882347,0.187548228804895,0.132122418995058,0.0937257505420946,0.229653079744734,0.797389655070379,0.841161483170445,0.861289079144336
"dryala-tm18_00103","dryala","Dryas alleghenies","Dwarf_Shrub_Broad",119,272,"12_Mile_dried_dryas",0.134288555588816,0.0987895729654828,0.119149809875932,0.249351181053976,0.182044897349473,0.125213686347392,0.30721526129555,0.815994895906088,0.851769060384887,0.872073080577244
"dryoct-tm32_00194","dryoct","Dryas octopetala","Dwarf_Shrub_Broad",124,272,"12_Mile_dried_dryas",0.126523795883639,0.0919578201007575,0.0971600140627802,0.175328236745635,0.135466190067326,0.103162579990633,0.229496340489702,0.679895467651935,0.734705100002856,0.77354500220001
"dryoct-tm29_00171","dryoct","Dryas octopetala","Dwarf_Shrub_Broad",124,272,"12_Mile_dried_dryas",0.110626118135394,0.0665406527512003,0.0657360975947273,0.1367501552138,0.0979116541667425,0.0698589294815894,0.178053338223006,0.695731425478983,0.745121086271814,0.769908085842799
